"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?","gender"
"11","Firm 2","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
"12","Firm 2","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Female"
"13","Firm 3","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
"14","Firm 3","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
"15","Firm 3","Employee 3",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"Female"
"16","Firm 3","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"Male"
"17","Firm 3","Employee 5",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"Female"
"18","Firm 4","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"Male"
"19","Firm 4","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"Female"
"20","Firm 4","Employee 3",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0,"Male"
"21","Firm 4","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1,"Male"
"22","Firm 4","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1,"Male"
"23","Firm 4","Employee 6",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0,"Female"
"24","Firm 4","Employee 7",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0,"Female"
"25","Firm 4","Employee 8",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0,"Male"
"26","Firm 5","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1,"Male"
"27","Firm 5","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1,"Male"
"28","Firm 6","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1,"Male"
"29","Firm 6","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"30","Firm 6","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"31","Firm 6","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"32","Firm 6","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"33","Firm 6","Employee 6",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"34","Firm 7","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"35","Firm 7","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Female"
"36","Firm 7","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"37","Firm 7","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"38","Firm 7","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"39","Firm 7","Employee 6",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0,"Male"
"40","Firm 7","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0,"Male"
"41","Firm 7","Employee 8",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0,"Male"
"42","Firm 7","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0,"Male"
"43","Firm 8","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0,"Male"
"44","Firm 8","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0,"Male"
"45","Firm 8","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0,"Male"
"46","Firm 8","Employee 4",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0,"Male"
"47","Firm 9","Employee 1",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0,"Male"
"48","Firm 9","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0,"Male"
"49","Firm 9","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0,"Male"
"50","Firm 9","Employee 4",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0,"Female"
"51","Firm 10","Employee 1",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0,"Female"
"52","Firm 10","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,1,0,0,0,0,"Male"
"53","Firm 10","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,1,0,0,0,0,"Male"
"54","Firm 10","Employee 4",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,1,0,0,0,0,"Female"
"55","Firm 10","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4.6","$5-$15",0,0,0,1,0,0,0,1,1,0,"Male"
"56","Firm 11","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4.6","$5-$15",0,0,0,1,0,0,0,1,1,0,"Male"
"57","Firm 11","Employee 2",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4.6","$5-$15",0,0,0,1,0,0,0,1,1,0,"Male"
"58","Firm 11","Employee 3",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1,"Male"
"59","Firm 11","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1,"Male"
"60","Firm 11","Employee 5",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1,"Male"
"61","Firm 11","Employee 6",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1,"Female"
"62","Firm 11","Employee 7",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1,"Male"
"63","Firm 11","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"64","Firm 11","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"65","Firm 11","Employee 10",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"66","Firm 11","Employee 11",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"67","Firm 12","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"68","Firm 12","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"69","Firm 12","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"70","Firm 13","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"71","Firm 13","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Female"
"72","Firm 13","Employee 3",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Female"
"73","Firm 13","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"74","Firm 13","Employee 5",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"75","Firm 13","Employee 6",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"76","Firm 13","Employee 7",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Female"
"77","Firm 13","Employee 8",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Female"
"78","Firm 13","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1,"Male"
"79","Firm 13","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1,"Male"
"80","Firm 13","Employee 11",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1,"Male"
"81","Firm 13","Employee 12",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1,"Male"
"82","Firm 14","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1,"Male"
"83","Firm 14","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"84","Firm 15","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"85","Firm 15","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"86","Firm 15","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"87","Firm 15","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"88","Firm 15","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"89","Firm 15","Employee 6",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"90","Firm 15","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"91","Firm 15","Employee 8",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"92","Firm 15","Employee 9",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"93","Firm 15","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"94","Firm 15","Employee 11",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"95","Firm 15","Employee 12",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"96","Firm 15","Employee 13",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0,"Male"
"97","Firm 15","Employee 14",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"98","Firm 15","Employee 15",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0,"Male"
"99","Firm 15","Employee 16",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Male"
"100","Firm 15","Employee 17",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Male"
"101","Firm 15","Employee 18",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Female"
"102","Firm 15","Employee 19",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Male"
"103","Firm 15","Employee 20",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0,"Female"
"104","Firm 15","Employee 21",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
"105","Firm 15","Employee 22",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
"106","Firm 15","Employee 23",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
"107","Firm 15","Employee 24",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Male"
"108","Firm 15","Employee 25",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Female"
"109","Firm 15","Employee 26",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Female"
"110","Firm 15","Employee 27",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Female"
"111","Firm 15","Employee 28",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Female"
"112","Firm 16","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0,"Female"
"113","Firm 16","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"Female"
"114","Firm 16","Employee 3",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"Female"
"115","Firm 17","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"Female"
"116","Firm 17","Employee 2",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"Male"
"117","Firm 17","Employee 3",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"Female"
"118","Firm 17","Employee 4",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"Female"
"119","Firm 17","Employee 5",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"Male"
"120","Firm 17","Employee 6",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"Female"
"121","Firm 17","Employee 7",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"122","Firm 18","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"123","Firm 18","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Female"
"124","Firm 19","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"125","Firm 19","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"126","Firm 20","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"127","Firm 20","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Female"
"128","Firm 20","Employee 3",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"129","Firm 21","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Female"
"130","Firm 22","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,1,0,0,0,0,"Male"
"131","Firm 22","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,1,0,1,0,"Male"
"132","Firm 22","Employee 3",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"11","$5-$15",1,0,0,0,0,0,1,0,1,0,"Male"
"133","Firm 23","Employee 1",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,1,0,1,0,"Female"
"134","Firm 23","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"Male"
"135","Firm 23","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"Male"
"136","Firm 23","Employee 4",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"Female"
"137","Firm 23","Employee 5",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"Female"
"138","Firm 23","Employee 6",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"Male"
"139","Firm 24","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"28","$15.1-$99",1,0,0,0,1,0,0,0,0,1,"Female"
"140","Firm 24","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"141","Firm 24","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"142","Firm 24","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"143","Firm 24","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"144","Firm 24","Employee 6",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"145","Firm 24","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"146","Firm 24","Employee 8",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
"147","Firm 25","Employee 1",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"100","$100+",1,0,0,0,1,0,0,0,0,0,"Male"
