"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?","type"
"114","Firm 16","Employee 3",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"115","Firm 17","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"116","Firm 17","Employee 2",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"117","Firm 17","Employee 3",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"118","Firm 17","Employee 4",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"119","Firm 17","Employee 5",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"120","Firm 17","Employee 6",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0,"VC Firm"
"121","Firm 17","Employee 7",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"122","Firm 18","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"123","Firm 18","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"124","Firm 19","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"125","Firm 19","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"126","Firm 20","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"127","Firm 20","Employee 2",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"128","Firm 20","Employee 3",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"129","Firm 21","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,0,"VC Firm"
"130","Firm 22","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,1,0,0,0,0,"Family Office"
"131","Firm 22","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,1,0,1,0,"VC Firm"
"132","Firm 22","Employee 3",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"11","$5-$15",1,0,0,0,0,0,1,0,1,0,"VC Firm"
"133","Firm 23","Employee 1",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"11","$5-$15",1,0,0,0,0,0,1,0,1,0,"VC Firm"
